open,high,low,close,volume,trades,timestamp,ret_1,ret_5,ret_15,ret_30,ret_60,ret_90,vol_15,vol_30,vol_60,vol_90,vol_240,range_hl,range_co,vol_z_15,vol_z_30,vol_z_60,vol_z_90,vol_z_240,ret_skew_20,ret_kurt_20,ret_skew_60,ret_kurt_60,avg_trade_size,tickiness,trades_z_15,trades_cv_15,avg_trade_size_z_15,avg_trade_size_cv_15,trades_z_30,trades_cv_30,avg_trade_size_z_30,avg_trade_size_cv_30,trades_z_60,trades_cv_60,avg_trade_size_z_60,avg_trade_size_cv_60,trades_z_90,trades_cv_90,avg_trade_size_z_90,avg_trade_size_cv_90,trades_z_240,trades_cv_240,avg_trade_size_z_240,avg_trade_size_cv_240,fdiff_0.20,close_ema_3,close_ema_5,close_ema_15,sigma,y,t_end,ev_ret,ev_ret_short,ev_bps,w,t_end_60_1.0,ev_ret_60,ev_ret_short_60,ev_bps_60,t_end_90_1.0,ev_ret_90,ev_ret_short_90,ev_bps_90
39.13,39.13,39.13,39.13,0.0,0,2021-06-17 23:45:00+00:00,0.0,0.003840742142906528,-0.011687124895717993,-0.013201511858535575,,,0.007118497455565299,0.008521264619596767,,,,0.0,0.0,-0.31085536423548776,-0.3382738934059578,,,,-0.9963896761526055,2.53498753228,,,,,-0.8491216065320134,1.1776876154220182,,,-0.4467441217532043,2.238417813032651,,,,,,,,,,,,,,,,39.159069367338674,39.16857314879229,39.18475986603098,,0,33,0.0,-0.0,0.0,0.0,33,0.0,-0.0,0.0,33,0.0,-0.0,0.0
39.14,39.18,39.13,39.18,28.27152568,4,2021-06-18 00:00:00+00:00,0.0012769762940734175,-0.0010204082518057156,-0.006614117218040061,-0.01770853257724303,,,0.007085359089544367,0.008447155974062492,,,,0.0012777919754663213,0.001021972406744996,-0.13548854560863785,-0.27593623171091564,,,,-1.0194514555351721,2.5532526516998257,,,7.06788142,0.14148511280484952,0.7543205430032157,1.1599843171661703,,,-0.13761937011283898,2.3120423957828726,,,,,,,,,,,,,,,,39.16953468366934,39.17238209919486,39.18416488277711,,0,34,0.0,-0.0,0.0,0.0,34,0.0,-0.0,0.0,34,0.0,-0.0,0.0
39.18,39.18,39.18,39.18,0.53599,1,2021-06-18 00:15:00+00:00,0.0,-0.008893464792199435,-0.002294456073523854,-0.008387391906904629,,,0.007003766249289661,0.008284808157850338,,,,0.0,0.0,-0.31838035751008587,-0.3270347927230944,,,,-1.0331500958917887,2.578915113560443,,,0.53599,1.865706449747197,-0.4579803296805238,1.1599843171661703,,,-0.3482331711594777,2.3707718383058687,,,,,,,,,,,,,,,,39.17476734183467,39.174921399463244,39.18364427242997,,0,35,0.0,-0.0,0.0,0.0,35,0.0,-0.0,0.0,35,0.0,-0.0,0.0
39.26,39.26,39.26,39.26,0.46401,1,2021-06-18 00:30:00+00:00,0.0020397763319204287,0.0020397763319204287,0.0010193680801147131,0.0022950411705751073,,,0.0070181273833785415,0.008141290846960613,,,,0.0,0.0,-0.3142247350301247,-0.3215787438047177,,,,-1.1370681435347845,3.1957934810362247,,,0.46401,2.155125967112778,-0.4579803296805238,1.1599843171661703,,,-0.33291072695671753,2.4609513665213045,,,,,,,,,,,,,,,,39.21738367091733,39.2032809329755,39.19318873837622,,0,36,0.0,-0.0,0.0,0.0,36,0.0,-0.0,0.0,36,0.0,-0.0,0.0
39.26,39.26,39.26,39.26,0.0,0,2021-06-18 00:45:00+00:00,0.0,0.0033167526259938462,0.0,0.024756292661714863,,,0.007013190278597225,0.006941570189131446,,,,0.0,0.0,-0.3163385854990536,-0.5030310248346211,,,,-1.143751346824679,3.2067728724433358,,,,,-0.8199779375635277,1.219545007480796,,,-1.0217631819555892,0.9787003658578342,,,,,,,,,,,,,,,,39.23869183545867,39.22218728865033,39.201540146079196,,0,37,0.0,-0.0,0.0,0.0,37,0.0,-0.0,0.0,37,0.0,-0.0,0.0
38.83,38.83,38.76,38.76,449.39598455000004,7,2021-06-18 01:00:00+00:00,-0.012817401825749641,-0.009500649199755795,-0.012817401825749641,-0.0038624999738967603,,,0.007754819395360494,0.0067770153623103475,,,,0.0017829852266938433,-0.0018027298480556345,2.0443425225729013,2.40437322736488,,,,-0.8883480319994587,1.649517368497799,,,64.19942636428571,0.015576463165351617,1.6253301795382393,1.0847998252501285,,,1.3325585806342626,0.9813394523112678,,,,,,,,,,,,,,,,38.99934591772933,39.06812485910022,39.146347627819296,,0,38,0.0,-0.0,0.0,0.0,38,0.0,-0.0,0.0,38,0.0,-0.0,0.0
38.76,38.76,38.76,38.76,0.0,0,2021-06-18 01:15:00+00:00,0.0,-0.010777625493829213,-0.00822204015201633,0.008810629682154847,,,0.007686952650616918,0.006349617658372711,,,,0.0,0.0,-0.4216763125410252,-0.5028073218298362,,,,-0.9893088201060929,1.864968032903119,,,,,-0.8274241587740471,1.2085699811831092,,,-0.9547024351904814,1.047446788800199,,,,,,,,,,,,,,,,38.87967295886466,38.96541657273348,39.09805417434188,,0,39,0.0,-0.0,0.0,0.0,39,0.0,-0.0,0.0,39,0.0,-0.0,0.0
38.75,38.81,38.75,38.81,230.72831567,7,2021-06-18 01:30:00+00:00,0.001289158358249498,-0.009488467135579715,-0.017875859042484343,0.0043899360364978435,,,0.007032405908821095,0.00627039127567164,,,,0.0015479876160991298,0.0015483870967742523,1.4327976301675633,0.9370276553935666,,,,-1.1345740961378499,2.1938300162484965,,,32.961187952857145,0.03033871234951403,2.1206240622755286,1.075744654878674,,,1.305116746804884,1.0417080043805511,,,,,,,,,,,,,,,,38.84483647943233,38.91361104848899,39.06204740254915,,0,40,0.0,-0.0,0.0,0.0,40,0.0,-0.0,0.0,40,0.0,-0.0,0.0
38.81,38.81,38.81,38.81,0.0,0,2021-06-18 01:45:00+00:00,0.0,-0.011528243467500143,0.0007732955663093399,0.0043899360364978435,,,0.005111880530909915,0.00627039127567164,,,,0.0,0.0,-0.42539724373425714,-0.5337903043169421,,,,-1.1666250705322763,2.2507199606273893,,,,,-0.8473185457363104,1.1801936887041828,,,-0.9599619046746669,1.0417080043805511,,,,,,,,,,,,,,,,38.82741823971617,38.879074032325995,39.03054147723051,,0,41,0.0,-0.0,0.0,0.0,41,0.0,-0.0,0.0,41,0.0,-0.0,0.0
38.5,38.57,38.46,38.57,46.1409351,6,2021-06-18 02:00:00+00:00,-0.006203173160678421,-0.017731416628178565,-0.007490671729157405,-0.0007775042506485974,,,0.005320916870996572,0.006374099651394787,,,,0.0028343210512754295,0.0018181818181818256,-0.07907807328417599,-0.24661588812136373,,,,-0.9701852171841566,1.6536996081702304,,,7.69015585,0.13003637631089102,1.4355581669191317,1.094646394441148,,,0.9201586445577082,0.9942781306597817,,,,,,,,,,,,,,,,38.69870911985808,38.776049354883995,38.972973792576695,,0,42,0.0,-0.0,0.0,0.0,42,0.0,-0.0,0.0,42,0.0,-0.0,0.0
