ts,price,action,delta_units,pos_units,score,ev_bps,latency_ms,killswitch
2021-06-18 00:39:00+00:00,39.26,SELL,-2.078907259636263e-06,-0.00018270784666352477,0.007563144088971868,-5.924368559110281,22,False
2021-06-18 01:00:00+00:00,38.81,BUY,1.3276350490322854e-05,-0.00016943149617320192,0.0019388754370051019,-5.980611245629949,21,False
2021-06-18 01:08:00+00:00,38.76,SELL,-4.191590042469786e-06,-0.0001736230862156717,-0.0034418575587796987,-6.034418575587797,21,False
2021-06-18 01:40:00+00:00,38.75,SELL,-4.224618366806076e-06,-0.00017784770458247778,-0.007937083662658035,-6.07937083662658,21,False
2021-06-18 01:44:00+00:00,38.81,SELL,-3.463629152485986e-06,-0.00018131133373496376,-0.010643261907660252,-6.106432619076602,21,False
2021-06-18 02:09:00+00:00,38.46,BUY,5.695495198236914e-06,-0.00017561583853672685,-0.01804079643984961,-6.180407964398496,21,False
2021-06-18 02:12:00+00:00,38.51,SELL,-4.191601667158249e-06,-0.0001798074402038851,-0.023087222175666205,-6.230872221756662,21,False
2021-06-18 02:14:00+00:00,38.57,SELL,-3.5872124727991117e-06,-0.0001833946526766842,-0.026135638096674487,-6.2613563809667445,21,False
2021-06-18 02:15:00+00:00,38.45,SELL,-2.952580719578268e-06,-0.00018634723339626248,-0.030325623018176477,-6.3032562301817645,20,False
2021-06-18 02:27:00+00:00,38.45,SELL,-4.077050867768068e-06,-0.00019042428426403055,-0.033469096081540466,-6.334690960815404,20,False
2021-06-18 03:37:00+00:00,39.07,BUY,2.9324909407376206e-05,-0.00016109937485665434,-0.02628236411078763,-6.262823641107876,20,False
2021-06-18 03:57:00+00:00,39.24,BUY,1.1796317434883833e-06,-0.00015991974311316596,-0.01817630313412946,-6.181763031341295,20,False
2021-06-18 04:06:00+00:00,39.18,SELL,-9.59007983890813e-07,-0.00016087875109705677,-0.012456831448110467,-6.124568314481104,20,False
2021-06-18 04:54:00+00:00,39.27,SELL,-5.64853860675487e-07,-0.00016144360495773226,-0.006400545024115548,-6.064005450241155,21,False
2021-06-18 04:58:00+00:00,39.26,SELL,-1.4105900924390796e-06,-0.00016285419505017134,-0.0016120980728416734,-6.016120980728417,20,False
2021-06-18 05:12:00+00:00,39.07,BUY,6.427660496802039e-08,-0.00016278991844520332,-0.0004514403449472401,-6.004514403449472,20,False
2021-06-18 05:22:00+00:00,39.15,SELL,-1.7058083226690376e-06,-0.00016449572676787235,0.0016535837339786595,-5.983464162660213,21,False
2021-06-18 05:29:00+00:00,39.15,SELL,-2.290359151207777e-06,-0.00016678608591908013,0.003350914895081252,-5.966490851049188,21,False
2021-06-18 05:41:00+00:00,39.36,BUY,1.6890877852348684e-06,-0.00016509699813384526,0.007697486468851998,-5.92302513531148,22,False
2021-06-18 05:51:00+00:00,39.12,BUY,1.4361266518234464e-06,-0.00016366087148202182,0.007793006722894619,-5.922069932771054,22,False
2021-06-18 06:01:00+00:00,38.99,SELL,-2.0313263410463574e-06,-0.00016569219782306817,0.005924998371557266,-5.940750016284428,21,False
2021-06-18 06:06:00+00:00,39.0,SELL,-3.1829654311592087e-06,-0.00016887516325422738,0.0044943578912874085,-5.955056421087126,20,False
2021-06-18 06:20:00+00:00,38.84,SELL,-1.7943721959354252e-06,-0.0001706695354501628,0.0009917430051427983,-5.990082569948572,21,False
2021-06-18 06:28:00+00:00,38.83,SELL,-3.732282401132695e-06,-0.0001744018178512955,-0.002018340742156957,-6.02018340742157,20,False
2021-06-18 06:45:00+00:00,38.83,SELL,-3.647279946066641e-06,-0.00017804909779736214,-0.0044488848586998805,-6.044488848586999,21,False
2021-06-18 06:53:00+00:00,38.72,SELL,-2.938986504246637e-06,-0.00018098808430160878,-0.008017199333984173,-6.0801719933398415,21,False
2021-06-18 07:00:00+00:00,38.69,SELL,-3.94770236470071e-06,-0.0001849357866663095,-0.011299136468139579,-6.112991364681395,21,False
2021-06-18 07:08:00+00:00,38.83,SELL,-1.2917267609228707e-06,-0.00018622751342723236,-0.011799302300233131,-6.117993023002331,21,False
2021-06-18 07:09:00+00:00,38.9,SELL,-2.4170941237738528e-06,-0.0001886446075510062,-0.01112548894477305,-6.11125488944773,21,False
2021-06-18 07:19:00+00:00,38.99,SELL,-1.7045493775846258e-06,-0.00019034915692859084,-0.009197284712383224,-6.091972847123833,20,False
2021-06-18 07:23:00+00:00,38.94,SELL,-2.647859334554758e-06,-0.0001929970162631456,-0.008330733857968979,-6.08330733857969,21,False
2021-06-18 07:27:00+00:00,38.95,SELL,-2.9380121886140415e-06,-0.00019593502845175964,-0.007418491979516866,-6.074184919795169,21,False
2021-06-18 07:31:00+00:00,38.97,SELL,-2.8908957594391384e-06,-0.00019882592421119878,-0.006339809836498325,-6.063398098364983,21,False
2021-06-18 07:52:00+00:00,39.11,BUY,7.667411246770083e-08,-0.00019874925009873108,-0.00338517918273008,-6.033851791827301,21,False
2021-06-18 07:56:00+00:00,39.06,SELL,-2.4611295177386723e-06,-0.00020121037961646975,-0.0017089630278562262,-6.017089630278562,21,False
2021-06-18 08:05:00+00:00,39.04,SELL,-2.959657378326304e-06,-0.00020417003699479605,-0.0006239560481937606,-6.006239560481937,21,False
2021-06-18 08:07:00+00:00,39.06,SELL,-2.9697930604041225e-06,-0.00020713983005520018,0.0005505249100266376,-5.994494750899734,21,False
2021-06-18 08:14:00+00:00,39.05,SELL,-3.1840149067703053e-06,-0.00021032384496197048,0.0013556962601615622,-5.986443037398384,20,False
2021-06-18 08:18:00+00:00,39.05,SELL,-3.3047323836925724e-06,-0.00021362857734566305,0.002000558336867293,-5.979994416631327,20,False
2021-06-18 08:32:00+00:00,39.1,SELL,-2.7413525942765634e-06,-0.00021636992993993962,0.0032308554791279035,-5.967691445208721,20,False
2021-06-18 08:51:00+00:00,39.02,SELL,-2.6261127481532463e-06,-0.00021899604268809286,0.003061130281557546,-5.969388697184424,21,False
2021-06-18 09:03:00+00:00,39.07,SELL,-3.036885739227097e-06,-0.00022203292842731996,0.0036183147377150133,-5.96381685262285,21,False
2021-06-18 09:19:00+00:00,38.91,BUY,1.2565420102103575e-07,-0.00022190727422629892,0.0017437471393395086,-5.982562528606605,21,False
2021-06-18 09:20:00+00:00,38.86,SELL,-4.128860060334581e-06,-0.0002260361342866335,-0.0005276229753472393,-6.0052762297534725,21,False
2021-06-18 09:22:00+00:00,38.94,SELL,-2.8394524997701345e-06,-0.00022887558678640364,-0.0012036794312819136,-6.012036794312819,21,False
2021-06-18 09:43:00+00:00,38.62,BUY,1.2386781762290238e-05,-0.0002164888050241134,-0.006442824046588057,-6.0644282404658805,21,False
2021-06-18 09:53:00+00:00,38.47,SELL,-2.2503777949381832e-06,-0.00021873918281905159,-0.012891006492331733,-6.128910064923318,21,False
2021-06-18 09:54:00+00:00,38.45,SELL,-5.579926887715962e-06,-0.00022431910970676755,-0.01832562942728559,-6.183256294272856,21,False
2021-06-18 09:56:00+00:00,38.25,BUY,5.399616167736524e-07,-0.0002237791480899939,-0.025686715275862297,-6.256867152758623,21,False
2021-06-18 10:03:00+00:00,38.12,SELL,-3.6018022844966986e-06,-0.0002273809503744906,-0.03345257783095706,-6.334525778309571,21,False
2021-06-18 10:04:00+00:00,38.22,SELL,-3.6292898372911866e-06,-0.00023101024021178178,-0.03789211055387148,-6.378921105538715,21,False
2021-06-18 10:17:00+00:00,38.0,BUY,2.2995450274803817e-06,-0.0002287106951843014,-0.044832311859160826,-6.448323118591608,21,False
2021-06-18 10:26:00+00:00,38.44,BUY,2.5103281373837133e-05,-0.00020360741381046427,-0.04297674844640885,-6.429767484464088,21,False
2021-06-18 10:29:00+00:00,38.51,SELL,-2.0227195510382075e-06,-0.00020563013336150247,-0.04051590169665892,-6.405159016966589,21,False
2021-06-18 10:54:00+00:00,38.46,SELL,-2.6749702906369622e-06,-0.00020830510365213944,-0.03911084087761756,-6.391108408776176,21,False
2021-06-18 11:11:00+00:00,38.61,BUY,7.03206427807258e-07,-0.00020760189722433218,-0.03534332741570562,-6.353433274157056,21,False
2021-06-18 11:12:00+00:00,38.59,SELL,-2.4895373850659127e-06,-0.0002100914346093981,-0.03249552690362456,-6.324955269036246,21,False
2021-06-18 11:21:00+00:00,38.46,SELL,-1.0057592271083416e-06,-0.00021109719383650643,-0.03197467997618681,-6.319746799761868,22,False
2021-06-18 11:25:00+00:00,38.4,SELL,-3.1039521639474738e-06,-0.0002142011460004539,-0.0321931653429411,-6.321931653429411,23,False
2021-06-18 11:31:00+00:00,38.37,SELL,-3.6025069413598047e-06,-0.0002178036529418137,-0.032594461822568914,-6.325944618225689,21,False
2021-06-18 11:36:00+00:00,38.21,SELL,-5.810300246929506e-07,-0.00021838468296650666,-0.03519577979129874,-6.351957797912988,22,False
