iter	Passed	Remaining
699	3355	1438
700	3360	1433
701	3365	1428
702	3370	1423
703	3374	1418
704	3378	1413
705	3383	1408
706	3387	1403
707	3391	1398
708	3396	1394
709	3403	1390
710	3408	1385
711	3412	1380
712	3417	1375
713	3422	1370
714	3427	1366
715	3431	1361
716	3436	1356
717	3441	1351
718	3446	1347
719	3451	1342
720	3456	1337
721	3461	1332
722	3467	1328
723	3472	1323
724	3476	1318
725	3481	1313
726	3486	1309
727	3490	1304
728	3494	1299
729	3499	1294
730	3503	1289
731	3507	1284
732	3512	1279
733	3517	1274
734	3521	1269
735	3526	1264
736	3531	1260
737	3535	1255
738	3540	1250
739	3545	1245
740	3549	1240
741	3554	1235
742	3558	1230
743	3563	1226
744	3567	1221
745	3571	1216
746	3575	1210
747	3580	1206
748	3584	1201
749	3589	1196
750	3593	1191
751	3598	1186
752	3602	1181
753	3607	1176
754	3612	1172
755	3616	1167
756	3621	1162
757	3625	1157
758	3630	1152
759	3634	1147
760	3639	1142
761	3643	1138
762	3648	1133
763	3652	1128
764	3656	1123
765	3661	1118
766	3665	1113
767	3670	1108
768	3675	1103
769	3679	1099
770	3684	1094
771	3688	1089
772	3693	1084
773	3697	1079
774	3702	1074
775	3707	1070
776	3711	1065
777	3715	1060
778	3720	1055
779	3725	1050
780	3729	1045
781	3734	1041
782	3738	1036
783	3743	1031
784	3748	1026
785	3752	1021
786	3757	1016
787	3761	1011
788	3765	1007
789	3770	1002
790	3774	997
791	3779	992
792	3783	987
793	3787	982
794	3792	977
795	3796	973
796	3801	968
797	3806	963
798	3810	958
799	3815	953
800	3819	948
801	3824	944
802	3828	939
803	3832	934
804	3837	929
805	3842	924
806	3846	919
807	3850	915
808	3856	910
809	3860	905
810	3864	900
811	3869	895
812	3874	891
813	3878	886
814	3883	881
815	3888	876
816	3892	871
817	3896	866
818	3900	862
819	3905	857
820	3910	852
821	3914	847
822	3919	842
823	3924	838
824	3928	833
825	3932	828
826	3937	823
827	3941	818
828	3946	814
829	3951	809
830	3955	804
831	3959	799
832	3964	794
833	3968	789
834	3972	785
835	3977	780
836	3981	775
837	3985	770
